Epoch,Train Loss,Val Loss,IoU,Dice,Accuracy,Time
1,0.41304713922939945,0.2728639766573906,0.00037436201504423755,0.0007363197731578712,0.9775476834512415,8.339492559432983
2,0.16930448891741506,0.1291018901599778,0.10675819346987549,0.17658426671129,0.9832544388958246,7.808668851852417
3,0.1202278755856364,0.09703885027103953,0.1355866623405173,0.22279024134483483,0.9833476383687058,7.8428261280059814
4,0.09401998191737057,0.08900153868728214,0.17410670861880992,0.28091362856862667,0.9842128762657789,7.877190828323364
5,0.08023764582329922,0.19260126484764947,0.1613027923208827,0.26137243745588856,0.9767231065334998,7.768847227096558
6,0.07233656930287233,0.08312225035495228,0.19919179432479314,0.31193708450310526,0.9807273026772091,7.8160717487335205
7,0.06636983717090628,0.1451012848979897,0.1745660799728742,0.2758805090808919,0.9811461367734776,7.7986462116241455
8,0.06208228085483058,0.10214616089231437,0.2114496596249644,0.3325433361250598,0.9837669059508947,7.79497766494751
9,0.05923902339647325,0.11374788516097599,0.19935626524825764,0.31035751402230216,0.9839302434456929,7.8149049282073975
10,0.0569210991347104,0.43699020751648476,0.14400906758101892,0.2310602548260684,0.9839650090165072,7.768885850906372
11,0.056183812930510287,0.05483616814017296,0.21783571556294698,0.3420070472229538,0.9841638923567763,7.83004355430603
12,0.05378202727755134,0.18178145746803945,0.23194599557262816,0.3563578311377183,0.985074646275489,7.824257135391235
13,0.050868355553973926,0.08295734737896257,0.23138799950207783,0.3562977868553207,0.9848976106256069,7.807277202606201
14,0.049216561689135734,0.05383435897529125,0.27569787945405433,0.4185697605457173,0.9846355250381468,7.827560186386108
15,0.04779184170151025,0.10053966738697555,0.2333165353717638,0.36147461079632975,0.9850164724649744,7.866117238998413
16,0.0464951094407379,0.06957091426269876,0.25272116494745117,0.39062902086690626,0.9853021396865029,7.831346750259399
17,0.04488628903885236,0.05325950433810552,0.2932578507980019,0.43785345387097435,0.9845116347621029,7.834698915481567
18,0.04457950091847543,0.11487338327699237,0.23506084443184314,0.36462946504220656,0.9826916007768067,7.92135214805603
19,0.044692933789632294,0.07324297519193755,0.2487013523762365,0.38076723269597473,0.984673758496324,7.843531608581543
20,0.041947607557927626,0.05985210933205154,0.28680736604517476,0.4306405143427593,0.9846943057289499,7.842967987060547
